"Nazwa_ogłoszenia","Cena","Cena_za_metr","Liczba_pokoi","Powierzchnia","Osiedle","Dzielnica","Forma_własności","Stan","Piętro","Balkon_taras_ogródek","Czynsz","Miejsce_parkingowe","Ogrzewanie","Rynek","Typ_ogłoszeniodawcy","Rok_budowy","Rodzaj_zabudowy","Okna","Winda","Zabezpieczenia","Informacje_dodatkowe"
"Inwestycyjne po generalnym remoncie 2w1",899500,13946,4,64.5,"Gocławek","Praga-Południe",NA,"do zamieszkania","5/12","balkon",NA,NA,"miejskie","wtórny","biuro nieruchomości",1970,NA,NA,"tak","domofon / wideofon","wielka płyta"
"kawalerka z ogrodem|piękna okolica|Białołęka|cena!",508808,13090,1,38.87,"Nowodwory","Białołęka",NA,"do wykończenia","parter/2","ogródek",NA,"garaż/miejsce parkingowe",NA,NA,"biuro nieruchomości",NA,"apartamentowiec",NA,"tak","system alarmowy, domofon / wideofon, monitoring / ochrona","inny"
"Apartament/ 4 pokojowy/ Warszawa/ cisza/ zieleń/",704497.5,10650,4,66.15,"Grodzisk","Białołęka","pełna własność","do wykończenia","2/2","balkon",NA,"garaż/miejsce parkingowe",NA,"pierwotny","biuro nieruchomości",2023,"blok",NA,"tak","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","cegła"
"Rodzinne/3 pokojowe/Warszawa/ 52 m2/",587664,11200,3,52.47,"Grodzisk","Białołęka","pełna własność","do wykończenia","2/2","balkon",NA,"garaż/miejsce parkingowe",NA,"pierwotny","biuro nieruchomości",2023,"blok",NA,"tak","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","cegła"
"Gotowiec inwestycyjny/2 pokojowe/Warszawa/34 m2",465908,13450,2,34.64,"Grodzisk","Białołęka","pełna własność","do wykończenia","parter/2","balkon",NA,"garaż/miejsce parkingowe",NA,"pierwotny","biuro nieruchomości",2023,"blok",NA,"tak","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","cegła"
"Apartament/ 3 pokojowy/las/cisza/rodzinny/54m2/",697245,12900,3,54.05,"Nowodwory","Białołęka","pełna własność","do wykończenia","3/3","balkon",NA,"garaż/miejsce parkingowe",NA,"pierwotny","biuro nieruchomości",2023,"blok",NA,"tak","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","cegła"
"Inwestycja/Apartament/Nowoczesne/51m2",810320.42,15692,3,51.64,"Ursynów Północny","Ursynów","pełna własność","do wykończenia","4/4","balkon",NA,"garaż/miejsce parkingowe","miejskie","pierwotny","biuro nieruchomości",2022,"apartamentowiec",NA,"tak","domofon / wideofon, monitoring / ochrona","inny"
"Gotowiec inwestycyjny/Apartament/Urządzony/32 m2/",439819.05,13642,1,32.24,"Salomea","Włochy","pełna własność","do zamieszkania","3/4",NA,NA,"garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2011,"apartamentowiec",NA,"tak","monitoring / ochrona","inny"
"Gotowiec inwestycyjny/Apartament/Urządzony/60 m2/",838462,13786,2,60.82,"Salomea","Włochy","pełna własność","do zamieszkania","3/4",NA,NA,"garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2011,"apartamentowiec",NA,"tak","monitoring / ochrona","inny"
"2 pokojowe mieszkanie na Mokotowie",980000,19600,2,50,"Służew","Mokotów","pełna własność",NA,"2/4","balkon",NA,NA,"miejskie","wtórny","biuro nieruchomości",2016,"blok",NA,"tak","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, pralka"
"110m2 przy metrze|antresola,balkon|świetna cena!!",1311499,11900,2,110.21,"Bródno-Podgrodzie","Targówek",NA,"do wykończenia","7/8","balkon",NA,"garaż/miejsce parkingowe",NA,"pierwotny","biuro nieruchomości",NA,"apartamentowiec",NA,"tak","system alarmowy, domofon / wideofon, monitoring / ochrona","inny"
"2pok z antresolą|najlepsza cena przy metrze|okazja",885708,11800,2,75.06,"Bródno-Podgrodzie","Targówek",NA,"do wykończenia","7/8","balkon",NA,"garaż/miejsce parkingowe",NA,"pierwotny","biuro nieruchomości",NA,"apartamentowiec",NA,"tak","system alarmowy, domofon / wideofon, monitoring / ochrona","inny"
"Nowe możliwe 2 pokoje, 26m2 oddanie marzec 2024",460000,18175,2,25.31,"Szamoty","Ursus","pełna własność","do wykończenia","1/7","balkon",NA,"garaż/miejsce parkingowe","miejskie","pierwotny","biuro nieruchomości",2023,NA,NA,"tak","domofon / wideofon, monitoring / ochrona, rolety antywłamaniowe",".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}2"
"Stylowy apartament z dużym tarasem do wprowadzenia",999000,18992,2,52.6,"Stegny","Mokotów","pełna własność","do zamieszkania","parter/3","balkon","700 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2007,NA,NA,"nie",NA,"cegła"
"Kawalerka 28m2, Bielany ul. Marymoncka 147",499000,17821,1,28,"Wrzeciono","Bielany",NA,NA,"parter/8",NA,"560 zł",NA,"miejskie","wtórny","biuro nieruchomości",1963,"blok",NA,"tak","domofon / wideofon, rolety antywłamaniowe","wielka płyta"
"Nowe 2 pokoje, 41 m2 oddanie 2 kwartał 2024 Ursus",581000,13976,2,41.57,"Szamoty","Ursus","pełna własność","do wykończenia","2/7","balkon",NA,"garaż/miejsce parkingowe","miejskie","pierwotny","biuro nieruchomości",2023,NA,NA,"tak","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","telewizja kablowa, internet, telefon"
"Wyposażone, nowe budownictwo, możliwe 3M, Wilanów",1190700,18900,3,63,"Błonia Wilanowskie","Wilanów","pełna własność","do zamieszkania","1/4","balkon",NA,"garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2013,"apartamentowiec",NA,"tak","teren zamknięty, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka"
"Mieszkanie dwupokojowe - 42 m2 - Praga Południe",760000,18095,2,42,"Grochów","Praga-Południe","pełna własność","do zamieszkania","3/5","balkon","670 zł","garaż/miejsce parkingowe","miejskie","wtórny","prywatny",2018,"blok",NA,"tak","teren zamknięty, domofon / wideofon, monitoring / ochrona","żelbet"
"Wysoki standard, Port Praski, Metro, klimatyzacja!",1699900,29058,2,58.5,"Stara Praga","Praga-Północ","pełna własność","do zamieszkania","1/6","balkon, ogródek, taras","650 zł","garaż/miejsce parkingowe","miejskie","wtórny","prywatny",2017,"apartamentowiec",NA,"tak","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","beton"
"3 pokoje, balkon. 47,5 mkw. na Saskiej Kępie",7e+05,14737,3,47.5,"Saska Kępa","Praga-Południe","pełna własność","do zamieszkania","3/11","balkon",NA,NA,NA,"wtórny","biuro nieruchomości",1972,NA,NA,"nie",NA,"pom. użytkowe"
"Metro Świętokrzyska | Do remontu | 47,34m2",994140,21000,2,47.34,"Śródmieście Północne","Śródmieście","pełna własność","do remontu","2/4",NA,"890 zł",NA,"miejskie","wtórny","biuro nieruchomości",1956,"blok",NA,"nie","domofon / wideofon","pustak"
"Przestronne 2 pok. z tarasem - Gocław",820000,17263,2,47.5,"Gocław","Praga-Południe","pełna własność","do zamieszkania","parter/5","ogródek, taras","690 zł","garaż/miejsce parkingowe","miejskie","wtórny","prywatny",2018,"blok",NA,"tak","drzwi / okna antywłamaniowe, domofon / wideofon","inny"
"3 pokoje/Zabudowany balkon/Gotowe do wprowadzenia!",714000,12524,3,57.01,"Grodzisk","Białołęka","pełna własność","do zamieszkania","parter/2","balkon","615 zł","garaż/miejsce parkingowe",NA,"wtórny","biuro nieruchomości",2010,"blok",NA,"tak","domofon / wideofon","plastikowe"
"Funkcjonalne w stanie deweloperskim od zaraz",625000,17857,2,35,"Pelcowizna","Praga-Północ","pełna własność","do wykończenia","8/8","balkon",NA,NA,"miejskie","wtórny","biuro nieruchomości",2023,"apartamentowiec",NA,"tak","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","inny"
"Designerskie 2 pokoje na Saskiej Kępie",950000,23267,2,40.83,"Saska Kępa","Praga-Południe","pełna własność","do zamieszkania","2/3","balkon","500 zł",NA,"miejskie","wtórny","biuro nieruchomości",1955,"kamienica",NA,"nie","domofon / wideofon","cegła"
"3-pok.ul.Kaliskiego 60 m2",740000,12333,3,60,"Fort Radiowo","Bemowo","spółdzielcze wł. prawo do lokalu","do zamieszkania","3/3","balkon","620 zł","garaż/miejsce parkingowe",NA,"wtórny","biuro nieruchomości",1965,"blok",NA,"nie","drzwi / okna antywłamaniowe, domofon / wideofon","cegła"
"Kamienica, nadbudowa, apartament 46,78 m2",939600,20000,2,46.98,"Mirów","Wola","pełna własność",NA,"5/5",NA,NA,NA,"miejskie","wtórny","biuro nieruchomości",1895,"kamienica",NA,"tak",NA,"oddzielna kuchnia"
"3 pok. Wysoki standard Garderoba Taras Garaż",969000,14528,3,66.7,"Żerań","Białołęka","pełna własność","do zamieszkania","5/5","taras","788 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2022,"apartamentowiec",NA,"tak","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","inny"
"Stary Żoliborz, Dymińska, 3 pok., 76 m2, 1928 r.",1530000,20092,3,76.15,"Stary Żoliborz","Żoliborz","pełna własność","do remontu","3/4","balkon",NA,NA,"miejskie","wtórny","biuro nieruchomości",1928,"kamienica",NA,"nie",NA,"cegła"
"Pl. Rembowskiego, 3 pok., 100 m2, 2-poziomowy",2295000,22950,3,100,"Augustówka","Mokotów","pełna własność","do zamieszkania","2/3","balkon, taras","1 820 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2004,"apartamentowiec",NA,"tak",NA,"plastikowe"
"Stanisława Augusta, 203 m2, 6 pok., 2-poziomowe",4590000,22580,6,203.28,"Kamionek","Praga-Południe",NA,"do zamieszkania","parter/4","balkon, ogródek","1 700 zł",NA,"miejskie","wtórny","biuro nieruchomości",1996,"apartamentowiec",NA,"nie",NA,"cegła"
"Po Remoncie | Sadyba | 3 Pokoje | 47M",859000,18277,3,47,"Sadyba","Mokotów",NA,"do zamieszkania","4/4","balkon","610 zł","garaż/miejsce parkingowe",NA,"wtórny","biuro nieruchomości",1970,NA,NA,"nie",NA,"piwnica"
"Bezpośrednio sprzedam, 3-pok. mieszkanie Bielany",790000,15490,3,51,"Chomiczówka","Bielany","spółdzielcze wł. prawo do lokalu","do zamieszkania","3/10","balkon",NA,NA,"miejskie","wtórny","prywatny",NA,"blok",NA,"tak","domofon / wideofon, monitoring / ochrona","wielka płyta"
"2-pokojowe mieszkanie 54m2 + loggia",655897,11993,2,54.69,"Żerań","Białołęka","pełna własność","do wykończenia","3/5",NA,NA,"garaż/miejsce parkingowe",NA,NA,NA,NA,NA,NA,NA,NA,".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}2"
"3-pokojowe mieszkanie 59m2 + balkon Bezpośrednio",710009,11883,3,59.75,"Żerań","Białołęka","pełna własność","do wykończenia","3/5","balkon",NA,"garaż/miejsce parkingowe",NA,NA,NA,NA,NA,NA,NA,NA,".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}3"
"54 m2 2 pokoje, garderoba, garaż, Kijowska bezpoś",1100000,20515,2,53.62,"Stara Praga","Praga-Północ","pełna własność","do zamieszkania","4/8","balkon","1 200 zł","garaż/miejsce parkingowe","miejskie","wtórny","prywatny",2015,"apartamentowiec",NA,"tak","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka"
"Widokowe mieszkanie z tarasem przy parku",899000,20432,2,44,"Stare Włochy","Włochy","pełna własność","do zamieszkania","4/4","balkon, taras","700 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2022,"blok",NA,"tak","system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon","inny"
"Mieszkanie wykończone w Nowoczesnym minimalizmie",1400000,24849,2,56.34,"Stare Włochy","Włochy","pełna własność","do zamieszkania","parter/5","ogródek, taras","800 zł","garaż/miejsce parkingowe",NA,"wtórny","biuro nieruchomości",2022,NA,NA,"nie",NA,"pom. użytkowe"
"76 M2 - Mieszkanie Na Zielonym Ursynowie",1620000,21232,3,76.3,"Ursynów-Centrum","Ursynów","pełna własność","do zamieszkania","1/3","balkon",NA,"garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2013,"apartamentowiec",NA,"tak","monitoring / ochrona","cegła"
"51 M2 - Mieszkanie - 2 Pokoje",798000,15510,2,51.45,"Młynów","Wola","pełna własność","do zamieszkania","2/4","balkon","1 200 zł",NA,"miejskie","wtórny","biuro nieruchomości",1950,"kamienica",NA,"nie","monitoring / ochrona","cegła"
"Żelazna - Wspaniały Apartament - 310 Cm Wysoki",970000,24872,2,39,"Mirów","Wola",NA,"do zamieszkania","6/12",NA,"655 zł",NA,"miejskie","wtórny","biuro nieruchomości",1972,"apartamentowiec",NA,"tak","monitoring / ochrona","żelbet"
"Metro Ursynów/Stokłosy 2 pokoje 55 m2",880000,15951,2,55.17,"Ursynów-Centrum","Ursynów","pełna własność","do zamieszkania","1/6","balkon","950 zł","garaż/miejsce parkingowe","miejskie","wtórny","prywatny",2002,"blok",NA,"tak","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","cegła"
"42 M2 - Fenomenalny Apartament - Wysoki Standard",960000,22711,2,42.27,"Mirów","Wola","pełna własność","do zamieszkania","5/12",NA,NA,NA,"miejskie","wtórny","biuro nieruchomości",1972,"apartamentowiec",NA,"tak","monitoring / ochrona","żelbet"
"Gotowe do wykończenia - wejdź do środka i zobacz.",599000,15763,2,38,"Salomea","Włochy","pełna własność","do wykończenia","1/6",NA,NA,"garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2023,"blok",NA,"tak",NA,"2024-01-02"
"Przytulne mieszkanie 52m2 na Białołęce z balkonem",749000,14159,3,52.9,"Nowodwory","Białołęka",NA,"do zamieszkania",NA,"balkon",NA,"garaż/miejsce parkingowe",NA,"wtórny","biuro nieruchomości",2016,NA,NA,"nie",NA,"system alarmowy, teren zamknięty"
"Mieszkanie, 38,25 m², Warszawa",7e+05,18301,2,38.25,"Ulrychów","Wola",NA,"do zamieszkania",NA,NA,NA,NA,NA,"wtórny","biuro nieruchomości",1926,"kamienica",NA,"nie",NA,"piwnica"
"Mieszkanie Bełdan 11",799000,16174,3,49.4,"Służewiec","Mokotów",NA,NA,"2/10","balkon",NA,NA,NA,"wtórny","biuro nieruchomości",1996,"blok",NA,"tak",NA,"piwnica"
"Dwupoziomowe z widokiem na Jeziorko Czerniakowskie",9e+05,15254,3,59,"Czerniaków","Mokotów","pełna własność","do zamieszkania","> 10/13","balkon","900 zł",NA,"miejskie","wtórny","prywatny",1982,"blok",NA,"tak",NA,"wielka płyta"
"3-pokojowe mieszkanie 58m2 + balkon",700094,11947,3,58.6,"Żerań","Białołęka","pełna własność","do wykończenia","4/5","balkon",NA,"garaż/miejsce parkingowe",NA,NA,NA,NA,NA,NA,NA,NA,".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}3"
"Gocław 86m2 – 2 Poziomy | Balkon | Garaż *Metro*",1471641,17112,3,86,"Gocław","Praga-Południe","pełna własność","do zamieszkania","parter/8","balkon","1 000 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2020,"apartamentowiec",NA,"tak","system alarmowy, domofon / wideofon, monitoring / ochrona","inny"
"Penthouse | Ostatnie piętro | Taras | Mokotów",3034000,18500,4,164,"Błonia Wilanowskie","Wilanów",NA,NA,"3/3","taras",NA,"garaż/miejsce parkingowe",NA,"wtórny","biuro nieruchomości",2003,NA,NA,"nie",NA,"pom. użytkowe"
"Penthouse | Ostatnie piętro | Taras | Wilanów",3034000,18500,4,164,"Błonia Wilanowskie","Wilanów",NA,NA,"3/3","taras",NA,"garaż/miejsce parkingowe",NA,"wtórny","biuro nieruchomości",2003,NA,NA,"nie",NA,"pom. użytkowe"
"3 -Pokojowe Mieszkanie Blisko Metra",790000,14517,3,54.42,"Sielce","Mokotów","pełna własność","do remontu","7/12",NA,"570 zł",NA,"miejskie","wtórny","biuro nieruchomości",1970,"blok",NA,"tak",NA,"żelbet"
"Przestronne 3 pok. z 111 m2 Tarasem !!!",669820,10835,3,61.82,"Szamocin","Białołęka","pełna własność","do wykończenia","3/3","taras",NA,"garaż/miejsce parkingowe",NA,"pierwotny","biuro nieruchomości",2022,"blok",NA,"tak","drzwi / okna antywłamaniowe, domofon / wideofon","inny"
"kompaktowe 3 pokoje - cesja system 25/75",549000,10543,3,52.07,"Grodzisk","Białołęka","pełna własność","do wykończenia","2/2","balkon",NA,"garaż/miejsce parkingowe","miejskie","pierwotny","biuro nieruchomości",2024,"blok",NA,"nie","domofon / wideofon","inny"
"★2 pokoje ★Duża loggia ★Klimatyzacja ★Ursus",749000,16708,2,44.83,"Szamoty","Ursus","pełna własność","do zamieszkania","6/7",NA,"700 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2018,"blok",NA,"tak","system alarmowy, drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","silikat"
"Chmielna Duo | mieszkanie 1-pok. | B1.90",1303000,33231,1,39.21,"Śródmieście Północne","Śródmieście","pełna własność","do wykończenia","6/9","balkon",NA,"garaż/miejsce parkingowe",NA,NA,NA,NA,NA,NA,NA,NA,"inne"
"Kawalerka na uroczym osiedlu blisko Wisły w ciszy",499000,13236,1,37.7,"Nowodwory","Białołęka","pełna własność","do zamieszkania","1/3","balkon, taras","573 zł",NA,"miejskie","wtórny","biuro nieruchomości",2001,"blok",NA,"nie","teren zamknięty, domofon / wideofon, monitoring / ochrona","piwnica, oddzielna kuchnia"
"Apartament 4 pokojowy - 75 m2 - BEZPOŚREDNIO",1340000,17867,4,75,"Raków","Włochy","pełna własność","do zamieszkania","3/6","balkon",NA,"garaż/miejsce parkingowe","miejskie","wtórny","prywatny",2022,"blok",NA,"tak","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","cegła"
"Komfortowe M3/Białołęka/Płochocińska/45m2",625000,13843,2,45.15,"Szamocin","Białołęka","pełna własność","do zamieszkania","2/3",NA,"600 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2019,"apartamentowiec",NA,"tak","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","silikat"
"Premium/Mieszkanie/Wykończone/Nadwiśle",1224000,10200,6,120,"Nadwiśle","Wawer","pełna własność","do zamieszkania","1/1","balkon","750 zł","garaż/miejsce parkingowe","gazowe","wtórny","biuro nieruchomości",2020,NA,NA,"nie","system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","inny"
"3 pokoje/Potencjał/Centrum/Rondo Onz",760000,16522,3,46,"Mirów","Wola","pełna własność","do wykończenia","1/12","balkon","720 zł",NA,"miejskie","wtórny","biuro nieruchomości",1966,"blok",NA,"nie",NA,"inny"
"Nowe mieszkanie 41m2 Stary Mokotów - BEZPOŚREDNIO",729000,17737,2,41.1,"Stary Mokotów","Mokotów","pełna własność","do zamieszkania","2/7",NA,NA,"garaż/miejsce parkingowe","miejskie","wtórny","prywatny",1960,"blok",NA,"tak","domofon / wideofon, monitoring / ochrona","piwnica"
"Metro Wierzbno, 2 pokoje i osobna kuchnia",820000,16078,2,51,"Wierzbno","Mokotów","pełna własność","do zamieszkania","parter/4","balkon","680 zł",NA,NA,"wtórny","biuro nieruchomości",1961,NA,NA,"nie",NA,"piwnica"
"Mieszkanie 48m Praga Południe",720000,15000,2,48,"Gocławek","Praga-Południe","pełna własność","do zamieszkania","parter","balkon","650 zł",NA,"miejskie","wtórny","prywatny",NA,"blok",NA,"nie","drzwi / okna antywłamaniowe, monitoring / ochrona","wielka płyta"
"3-pokojowe mieszkanie 62m2 + loggia",721530,11504,3,62.72,"Żerań","Białołęka","pełna własność","do wykończenia","1/5",NA,NA,"garaż/miejsce parkingowe",NA,NA,NA,NA,NA,NA,NA,NA,".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}3"
"2-pokojowe mieszkanie 54m2 + loggia Bez Prowizji",662952,12122,2,54.69,"Żerań","Białołęka","pełna własność","do wykończenia","5/5",NA,NA,"garaż/miejsce parkingowe",NA,NA,NA,NA,NA,NA,NA,NA,".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}2"
"2-pokojowe mieszkanie 41m2 + balkon Bezpośrednio",837216,20400,2,41.04,"Sadyba","Mokotów","pełna własność","do wykończenia","3/11","balkon",NA,"garaż/miejsce parkingowe",NA,NA,NA,NA,NA,NA,NA,NA,".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}2"
"Praga Studio | mieszkanie 2-pok. | 3_14",618000,18586,2,33.25,"Grochów","Praga-Południe","pełna własność","do wykończenia","3/3",NA,NA,"garaż/miejsce parkingowe",NA,NA,NA,NA,NA,NA,NA,NA,".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}2"
"Mieszkanie 50 m2 balkon garaż komórka",770934,15351,2,50.22,"Stare Włochy","Włochy",NA,"do wykończenia","1/2","balkon",NA,"garaż/miejsce parkingowe","gazowe","pierwotny","deweloper",2024,"apartamentowiec",NA,"tak",NA,"żelbet"
"2-pokojowe mieszkanie 43,2m2 | WYSOKI STANDARD",863000,19977,2,43.2,"Siekierki","Mokotów",NA,NA,"1/2","balkon",NA,"garaż/miejsce parkingowe",NA,"wtórny","prywatny",NA,"blok",NA,"tak","system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona, rolety antywłamaniowe","klimatyzacja"
"⭐M2 ⭐2 Pokoje ⭐Wola - Mirów⭐",615000,22778,2,27,"Mirów","Wola",NA,"do zamieszkania","7/15","balkon","600 zł",NA,NA,"wtórny","biuro nieruchomości",1972,NA,NA,"nie",NA,"lodówka, meble, piekarnik, kuchenka"
"Sprzedam bezpośrednio mieszkanie 3 pokojowe Praga",650000,13830,3,47,"Szmulowizna","Praga-Północ","spółdzielcze wł. prawo do lokalu","do remontu","7/10","balkon","900 zł",NA,"miejskie","wtórny","prywatny",1975,"blok",NA,"tak","domofon / wideofon","wielka płyta"
"Mieszkanie 3-pokojowe, Habicha",890000,19348,3,46,"Szamoty","Ursus","pełna własność","do zamieszkania","6/7","balkon","560 zł","garaż/miejsce parkingowe","miejskie","wtórny","prywatny",2021,"apartamentowiec",NA,"tak","teren zamknięty, domofon / wideofon, monitoring / ochrona","cegła"
"2 pokoje przy metro Stokłosy z balkonem i piwnicą",625000,16892,2,37,"Ursynów Północny","Ursynów",NA,"do zamieszkania","4/5",NA,NA,NA,"miejskie","wtórny","biuro nieruchomości",1980,"blok",NA,"tak",NA,"meble"
"3-stronne | winda w budynku | 2 balkony",1995000,15114,5,132,"Saska Kępa","Praga-Południe","pełna własność","do zamieszkania","1/3","balkon","1 900 zł","garaż/miejsce parkingowe",NA,"wtórny","biuro nieruchomości",2001,"apartamentowiec",NA,"tak","teren zamknięty, domofon / wideofon, monitoring / ochrona","cegła"
"Przestronne, osiedle zamknięte, parking",899999,8467,4,106.3,"Stara Miłosna","Wesoła","pełna własność","do remontu","3/3","balkon","318 zł","garaż/miejsce parkingowe","gazowe","wtórny","biuro nieruchomości",2000,"blok",NA,"nie","teren zamknięty, domofon / wideofon, monitoring / ochrona","dwupoziomowe"
"Nowe wykończone mieszkanie, bez Pcc, parking",1160000,19330,3,60.01,"Wyczółki","Ursynów",NA,NA,"2/6","balkon",NA,"garaż/miejsce parkingowe",NA,"pierwotny","biuro nieruchomości",2022,"blok",NA,"tak","teren zamknięty, domofon / wideofon, monitoring / ochrona",".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}3"
"Nowe wykończone mieszkanie, bez Pcc, parking",1700000,18889,4,90,"Wyczółki","Ursynów",NA,NA,"2/6","balkon","900 zł","garaż/miejsce parkingowe",NA,"wtórny","biuro nieruchomości",2022,"blok",NA,"tak","teren zamknięty, domofon / wideofon, monitoring / ochrona","meble"
"Nowe wykończone mieszkanie, bez Pcc, parking",1215000,19332,3,62.85,"Wyczółki","Ursynów",NA,NA,"2/6","balkon",NA,"garaż/miejsce parkingowe",NA,"pierwotny","biuro nieruchomości",2022,"blok",NA,"tak","teren zamknięty, domofon / wideofon, monitoring / ochrona","meble"
"Nowe/ 4 pok/2 poziomy/ centrum/ stan deweloperski",3500000,25068,4,139.62,"Śródmieście Północne","Śródmieście","pełna własność","do wykończenia","4/5",NA,"1 000 zł",NA,NA,"pierwotny","biuro nieruchomości",1900,"kamienica",NA,"tak","system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","cegła"
"Mieszkanie 4-pok/2 balkony + poddasze",978500,5233,4,187,"Stary Rembertów","Rembertów",NA,"do wykończenia","1/1","balkon",NA,"garaż/miejsce parkingowe",NA,"pierwotny","biuro nieruchomości",2023,NA,NA,"nie",NA,"internet, telefon"
"Rezerwacja / Metro / Plac Bankowy / Ogród Saski",929000,25522,2,36.4,"Śródmieście Północne","Śródmieście","pełna własność","do zamieszkania","5/6","balkon","650 zł",NA,"miejskie","wtórny","biuro nieruchomości",1961,"blok",NA,"tak","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","cegła"
"Mieszkanie inwestycyjne/Ochota/Po remoncie",788000,17909,2,44,"Stara Ochota","Ochota","pełna własność","do zamieszkania","3/4",NA,"156 zł",NA,"miejskie","wtórny","biuro nieruchomości",1936,"kamienica",NA,"nie",NA,".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}2"
"4 pokoje / loggia / 2x garaż / komórka /Holm House",1499000,19218,4,78,"Ksawerów","Mokotów","pełna własność","do wykończenia","1/6","balkon","700 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2020,"apartamentowiec",NA,"tak","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","pom. użytkowe"
"centrum, świetna inwestycja, przy metrze",1099000,23383,2,47,"Śródmieście Północne","Śródmieście",NA,"do zamieszkania","3/6","balkon",NA,NA,"miejskie","wtórny","biuro nieruchomości",1960,"blok",NA,"tak","domofon / wideofon","inny"
"Dwa Balkony/Garaż/3 Pokoje",950000,17010,3,55.85,"Natolin","Ursynów","pełna własność",NA,"1/4","balkon",NA,"garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2005,"blok",NA,"tak",NA,"cegła"
